,uid,comment,date,like,sorce,#服务方面#cnt,#导游方面#cnt,#人流方面#cnt,#景色方面#cnt,#价格方面#cnt,#饮食方面#cnt,#娱乐方面#cnt,#儿童方面#cnt,#设施方面#cnt
0,4852894.0,经典展 精品玉器展 一万年前到清代 精品一件件。有讲解员 引经据典 娓娓道来。,/Date(1680181856000+0800)/,0,4.286,0,1,0,0,0,0,0,0,0
1,2094674.0,虽然只能看圆厅，不过今天遇到的这个老师讲得非常好，特别详细，明明白白，尤其是佛塔文物，虽然展品不多，从藏品的出处、知识脉络都很清晰，感觉以后实地游览会更有感觉~,/Date(1676178918000+0800)/,0,4.282,0,0,0,0,0,0,0,0,0
2,421134880.0,感谢姜老师的讲解，细致入微，信息量大，而且极其的认真。,/Date(1680669547000+0800)/,0,4.257,0,1,0,0,0,0,0,0,0
3,3146912.0,北京的首都博物馆位于木樨地附近，乘坐地铁一号线可以到达。很不错的适合家庭成员一起参观的好去处。,/Date(1676217540000+0800)/,0,4.285,0,0,0,0,0,0,0,0,0
4,1574528.0,集收藏、展览、研究、考古、公共教育、文化交流于一体的博物馆。,/Date(1679996413000+0800)/,0,4.284,0,0,0,0,0,0,0,0,2
5,468498410.0,不同时间会有不同的展览，馆内宽敞明亮，饿了还有餐厅。,/Date(1678927667000+0800)/,0,2.664,0,0,0,0,0,1,0,0,1
6,216603196.0,位于天安门广场西侧，中国最大的国家级博物馆,/Date(1676692743000+0800)/,0,4.285,0,0,0,0,0,0,0,0,0
7,28604644.0,去首都博物馆有多条线路的公交车可以直达。,/Date(1679554378000+0800)/,0,4.159,0,0,0,0,0,0,0,0,0
8,35546121.0,经常会有不同主题的展览，而且免费。,/Date(1676681632000+0800)/,0,-0.332,0,0,0,0,0,0,0,0,1
9,230921536.0,20220825   首都博物馆,/Date(1664077801000+0800)/,0,1.849,0,0,0,0,0,0,0,0,0
10,2156086.0,看生肖展，还得去首博。每年正月，必打卡项目。,/Date(1674394066000+0800)/,1,-2.241,0,0,0,0,0,0,0,0,1
11,13188945.0,首都博物馆简称首博，位于北京长安街西延长线上、白云路的西侧，复兴门外大街16号，原馆址是“北京孔庙”。集收藏、展览、研究、考古、公共教育、文化交流于一体的博物馆，是北京地区大型综合性博物馆，属中国省市级综合性博物馆。现在进馆需要提前预约。,/Date(1668954195000+0800)/,0,4.286,0,0,0,0,0,0,0,0,2
12,341117431.0,陈列了不少有价值的历史文物，推荐,/Date(1677340155000+0800)/,0,4.232,0,0,0,0,0,0,0,0,0
13,274518447.0,讲解很详细，展品很丰富,/Date(1675135621000+0800)/,0,4.115,0,1,0,0,0,0,0,0,0
14,232892585.0,首博只开了圆厅 想看北京民俗都没开 讲解还行吧 总是说这个文物很重要 什么都很重要 有点词穷,/Date(1674889790000+0800)/,0,4.279,0,1,0,0,0,0,0,0,0
15,9302125.0,之前经常去首都博物院，还听过几次讲座，下面一二展厅经常有主题临展，楼顶是北京地区的一些展品，有瓷器、京剧和胡同，很喜欢去的一个地方。,/Date(1667300785000+0800)/,0,4.115,0,0,0,0,0,0,0,0,0
16,4829184.0,"📍详细地址：首都博物馆位于北京长安街西延长线上、白云路的西侧，复兴门外大街16号。

🚗交通攻略：推荐地铁出行，乘坐1号线木樨地站向东500米就到了。

🕙营业时间：周二至周日9：00—17：00（16:00停止入馆），周一闭馆。

💰人均消费：免费参观，需要提前在微信公众号上预约。现场刷身份证换票。

🌟亮点特色：首博是北京地区大型综合性博物馆，展馆有地上五层、地下二层。展区分东西，一次很难全部参观完，推荐分两次参观。以下说说我本次参观的西边的四个展厅。

1⃣：古代瓷器展：展出了北京作为都城时期，出土和传世的瓷器，其中包含宋辽金明清五个朝代 北京地区遗址、墓葬、窖藏出土的瓷器。展品非常精美，可以看出不同朝代的不同审美风格。比如辽金时期，瓷器带有粗旷的少数民族风情，明清瓷器则非常秀美细腻。

2⃣：古代佛像展：展示中国汉藏佛像艺术的历史风貌，同时展示北京地区佛教文化的地域文化特色，展览分为汉传佛像艺术和藏传佛像艺术。仔细观察，不同派别的佛像造像艺术区别很大，汉传佛像的身型比较均匀，而藏传佛像的身型比较凹凸有致。

3⃣：老北京文化展览：从生活的各个方面介绍了老北京人的衣食住行，有胡同文化，逢年过节的风俗习惯，结婚迎娶等等，很有意思。

4⃣：古都北京·历史文化展览：这个展览主要是介绍北京作为城市和都城的历史，纵贯中国历史，很详细，非常值得一看。展出的很多文物都是从北京各个地方考古挖掘出来的，还用影片和模型复原了北京保卫战、积水潭码头的模型，再现了当时的场景。

📌小Tips：大厅有个多媒体厅，每天上午9:00/10:30两场放映“辉煌的北京”，每次十二分钟，很值得一看，朋友们不要错过。",/Date(1615474256000+0800)/,12,4.286,0,0,0,0,0,0,0,0,4
17,253059937.0,"首都博物馆的展馆陈设很棒，走进博物馆的大门,眼前马上呈现出一片热闹的景象，大厅中央服务台，有首都博物馆的印章，免费盖哟。最好提前准备个空白的本子，每层都有印章可以盖章哟！馆内休息的座位很多,也有热水供应，大概逛个两三个小时左右。
基本陈列:有《古都北京·历史文化篇》、《京城旧事——老北京民俗展》 《古都北京·历史文化篇》是首都博物馆展陈的核心，表现了恢宏壮丽的北京文化及不断递升并走向辉煌的都城发展史，成为创建国内一流博物馆的品牌陈列.
精品陈列:有《古代瓷器艺术精品展》、《燕地青铜艺术精品展》、《古代书法艺术精品展》、《古代绘画艺术精品展》、《古代玉器艺术精品展》、《古代佛教艺术精品展》。这六个馆藏精品展览和《京城旧事——老北京民俗展》是对北京文化展现的补充和深化
开放时间
每天9:00-17:00 （16：00停止入馆），周一闭馆，参观的朋友们一定要提前预约哟
预约方法
请点击公众号菜单“‘享·服务’—‘预约服务’”，进入预约页面。
开放区域 
地下一层、方形展厅一至五层和圆形展厅二至六层展厅
参观注意事项
首都博物馆的北门进入，进门右手边扫健康宝，进行体温检测然后使用本人二代身份证验证预约信息并领取门票，就可以入馆参观了，如果健康码显示异常、或者未预约的情况的观众，就无法入馆参观的。
 
博物馆提供免费的语音导览设备，可以供观众借用。语音导览有中英两种语言。凭本人有效证件在礼仪大厅咨询台就可以办理了。
 
地下一层D展厅：
读城-探秘北京中轴线
这个展馆是非常有必要值得参观的，图文的形式展现了北京中轴线的文化历史。
中轴线是古都北京的脊梁和灵魂，严谨、中庸、秩序，体现了尊卑有序的价值观以及天人合一的信仰，是中国传统文化思想在城市建筑上的反映。这条世界上现存规模最长的城市中轴线，汇集了北京古代建筑的精髓，蕴含着华夏文明的精彩印记，也发生了不少鲜为人知的神秘故事",/Date(1642569406000+0800)/,9,4.286,3,0,0,0,1,0,0,0,4
18,14392282.0,"泉州，今天成为世界文化遗产👏。始建于唐，盛于宋元，一座千年古城，再次回到世界舞台。申遗路上：一座泉州城、一条中轴线。
看这个“少年”⬇️对中轴线有多么热爱😇
读一座城爱❤️一条线#北京中轴线，博物馆行走课程持续招募ing",/Date(1627221387000+0800)/,9,4.286,0,0,0,0,0,0,0,0,0
19,1999506.0,在北京，相对国家级博物馆，首都博物馆更有亲近感，是那种够得着的历史和文化。,/Date(1665130267000+0800)/,0,4.285,0,0,0,0,0,0,0,0,0
20,93673800.0,非常值得参观，玉器展好看,/Date(1673940136000+0800)/,0,3.357,0,0,0,1,0,0,0,0,0
21,11803721.0,博物馆非常大，有很多非常有历史意义的收藏,/Date(1664150108000+0800)/,1,4.252,0,0,0,0,0,0,0,0,0
22,74176873.0,孩子们去玩，没有陪同，通过后来孩子们聊天，感觉还是学到了不少知识，增加了不少见识，北京的博物馆有机会，要一个一个的带孩子们去参加,/Date(1664804807000+0800)/,0,4.286,0,0,0,0,0,0,1,0,0
23,21162064.0,有时间可以来这个博物馆转一转，很不错,/Date(1668694411000+0800)/,0,4.157,0,0,0,0,0,0,0,0,0
24,716975.0,提前预订，不要门票的。增长见识的地方,/Date(1665812322000+0800)/,0,2.627,0,0,0,0,1,0,0,0,0
25,1117346.0,首都博物馆地理位置优越，交通方便。,/Date(1662294197000+0800)/,0,4.253,0,0,0,0,0,0,0,0,0
26,203696729.0,喜欢这种地方，来北京一定要去这里,/Date(1668164422000+0800)/,0,-0.766,0,0,0,0,0,0,0,0,0
27,203696729.0,非常不错的博物馆，交通方便，推荐,/Date(1667298236000+0800)/,0,4.242,0,0,0,0,0,0,0,0,0
28,65498569.0,北京地方展示为主的一座博物馆。,/Date(1667537724000+0800)/,0,4.102,0,0,0,0,0,0,0,0,0
29,13722867.0,首都博物馆位于西城区复兴门外，是集收藏、展览、研究、考古、公共教育、文化交流于一体的省级博物馆，国家一级博物馆，地上五层地下二层，现正在展出青铜器、玉器、瓷器、佛造像，老北京民俗等，玉器展厅中有大量的王公贵族墓出土的玉器，相当精美。参观需要提前在公众号预约，刷身份证免费参观。,/Date(1639913962000+0800)/,4,4.286,0,0,0,0,0,0,0,0,2
30,3377874.0,"本来想去国家博物馆的，实在是人太多，退而求其次，带着小朋友改来首都博物馆。一般来说国家建设的博物馆都是免费的，这家也不例外，不过可能是有太多的游客，或者是出于安全的考虑，这家博物馆需要使用身份证预约取票。

博物馆共有七层，楼上五层，地下二层，展品以北京地区的出土文物为主，另外还有一些其他的展品。个人印象比较深的有古代佛像展，数百数千年前的佛像竟然也能雕刻的如此精致，简直令人咋舌。

还有一个京剧的展览，展出了一些京剧脸谱等展品，还在展区内设置了一个京剧舞台，播放京剧相关的短片，没想到我家小朋友也看的津津有味，连看了好几遍，看来传统文化只要形式够新颖，还是能得到大家的喜爱的。

博物馆一楼有纪念品商场，出售一些比如兔儿爷之类的北京传统玩具，还是挺有趣味的。",/Date(1516194359000+0800)/,48,4.286,0,0,1,0,0,0,2,0,1
31,19168774.0,"1免费但是不免票 需要提前预约 当日12点前可预约今天的 预约去官网登记注册就好很简单 
2最近有一个美丽中国的展超级值 一定要去 这个要提前一天预约 有幸还可以遇到政治接待级别的讲解员讲解
3租讲解器要身份证 一个证可以租很多台 下午4点前送回就好 可以自带耳机 使用建议咨询前台
也有人工讲解员 免费的 不过有时间规定 建议询问前台
4游玩建议先看那个一楼电影 再去右边看5层的展 一层有2到3个展览 很快就能看完 再去左边那个圆圆的展区 有6层 
5都可以拍照 可拿单反 不要闪光就好 
6有空调 有WIFI 网速特快",/Date(1497406263000+0800)/,60,-9.998,0,4,0,0,0,0,1,0,1
32,34706777.0,首都博物馆三层开展建党百年的纪念展览。一大早进门就有很多人参观。其中相当多的是党员来学习的。整个展厅展示和回顾了建党的简要历史，每一次重要的会议、战斗，每一件影响后来历史发展的重要事件、历史时刻。里面有文字介绍、图片介绍，还有部分实物展示。大门处还开辟了专门的一块区域，供支部党员重温誓词和拍照使用。很不错的展览。,/Date(1619139728000+0800)/,1,4.286,0,0,0,0,0,0,0,0,2
33,45149161.0,北京首都博物馆是个综合性的博物馆，原馆址是“北京孔庙”，现在北京西城区复兴门外大街16号。总建筑面积为63390平方米。占地面积为2.48万平方米。每天早上9点到晚上5点开馆，周一闭馆。免费参观领票入馆。首都博物馆建筑内分为三栋独立的建筑，系，句型专管，椭圆形专题展馆，条形的办公科研楼。馆内展出文物5622件。展馆内主要分为佛像展厅，玉器展厅，陶瓷展厅，书房展厅，镇馆之宝。现在又有了一个“走进养心殿”主题呢展厅。展厅里都是故宫博物院“养心殿”里的珍贵。包括垂帘听政时期的，那个帘子。,/Date(1481379982000+0800)/,9,4.284,0,0,0,0,0,0,0,0,3
34,1514505.0,北京迎来了2022年的第一场雪❄️，午间时光在漫天飞雪中散步，随便去首博看看展，惊喜地看到中国女排老队员侯玉珠的签名。据说，这是1985年中国女排三连冠后访美时，全体队员在这只排球上签名。中国女排，一代人的回忆，为女排精神点赞。,/Date(1643035716000+0800)/,0,4.286,0,0,0,0,0,0,0,0,0
35,5285012.0,"首都博物馆简称首博，位于北京长安街西延长线上、白云路的西侧，复兴门外大街16号。集收藏、展览、研究、考古、公共教育、文化交流于一体的博物馆，是北京地区大型综合性博物馆，属中国省市级综合性博物馆。
截至2015年末，首都博物馆总建筑面积63390平方米，常设展览藏品数量为5622件，展馆有地上五层、地下二层。先后被评为：“国家一级博物馆”、“全国科普教育基地”、“爱国主义教育基地”。",/Date(1642819970000+0800)/,0,4.286,0,0,0,0,0,0,0,0,4
