,uid,comment,date,like,sorce,#服务方面#cnt,#导游方面#cnt,#人流方面#cnt,#景色方面#cnt,#价格方面#cnt,#饮食方面#cnt,#娱乐方面#cnt,#儿童方面#cnt,#设施方面#cnt
0,5285012,"颐和园第十二届“傲骨幽香”梅花、蜡梅迎春文化展位于畅观堂景区，共展出梅花、蜡梅树桩盆景及其他植物百余盆、十余个品种有红梅、白梅（绿萼梅）、粉梅，还有黄黄的腊梅！
今天是节后的第一个工作日，颐和园里明显人少了，而且游人主要集中在长廊东部，昆明湖东岸，再有就是我进园早，绝大多数游人也不会八点就进园

咱北宫门进园，从四大部洲东侧上山，然后一路向西堤，向南部的畅观堂进发！

畅观堂里赏拍梅花的人也不算多，耐心等等还是能等到拍照的最佳位置和角度的。",/Date(1675254963000+0800)/,0,0.944,0,0,0,0,0,0,0,0,0
1,5285012,"冬日的颐和园颇有韵味，干燥的空气中夹杂着些许清冷的味道和松树的香气。结冰的湖面平滑如镜，万寿山映入镜中，影影绰绰，虚虚实实，将时光拉回到1750年。
1750年，正是颐和园这座皇家园林的开端。是年三月，乾隆皇帝为庆祝崇庆皇太后60寿辰，将疏浚后的西湖改名为昆明湖，瓮山改名为万寿山，将这一带湖山、建筑命名为“清漪园”，并开始了长达15年的园林修建。",/Date(1674212067000+0800)/,6,4.286,0,0,0,2,0,0,0,0,1
2,20529448,畅观堂的右配殿的匾额上写着“绚霞绮月”，是指在这里可以欣赏到朝霞和晚霞的绚丽，可以欣赏到明月的皎洁，由于这里地势高，周边视野开阔，确实是赏景的好地方。如今这里还有游船码头，是颐和园的一个好景点。,/Date(1675037265000+0800)/,0,4.286,0,0,0,0,0,0,0,0,0
3,20529448,颐和园西北角的畅观园，是乾隆皇帝观赏和了解附近老百姓种地情况的地方，在这里向东可以观赏到昆明的美景，向西可以看到老百姓耕种和庄稼收获的情况，乾隆通过观察，对老百姓的收成状况略知一二。,/Date(1675382943000+0800)/,0,4.286,0,0,0,1,0,0,0,0,0
4,187920416,"北京之旅≡：颐和园
【景色：巧夺天工的园林设计

  ​13日下午壹时半，在弘一法师＜李叔同＞的“骊歌”声中：长亭外、古道边，芳草碧连天…我们和张兴国夫妇辞别，相较于过去明朝“徐霞客游记”中的艰辛，现在京沪之间依托现代化高铁，千里之行仅需5小时即达。此次朋友间的短暂相聚，让我真正品读了：人间有味是清欢…
​    从垡头＜七号线＞→菜市口＜4号线＞→北宫门站，已过下午叁时，我们从北门进入颐和园，该园前身为清漪园，以杭州西湖为蓝本，汲取江南园林的设计手法，是保存最完整的一座皇家行宫御园，被誉为“皇家园林博物馆”。
    我们从北宫门→苏州街→清晏坊→佛香阁→长廊→铜牛→十七孔桥…依次游览，颐和园的最佳观览摄影时间：晨十点前和下午四时后，此刻光线最柔和，照片富有光感又不失细节。
   落日余晖下的苏州街，犹如缩小版姑苏山塘街：绸缎铺、金银手饰店、茶楼…依河而建，极大满足了＜六下江南＞乾隆皇帝，对杨州、苏杭：水巷小桥多、人家尽忱河的念念不忘…
   徐步往上登临万寿山，游览完四大部州，来到佛香阁和排云殿，映入眼帘便是密集的厅堂楼阁依山而建，再现镇江金山寺“寺包山”的奇特景象，登临其上，四周景致尽收眼底，令人心旷神怡，向南眺望：浮光跃金波，霞光染山河之昆明湖；南湖岛的三层望蟾楼阁、东堤侧的廓如亭、横卧湖面的十七孔桥，共同构成了一道高楼、长桥、亭轩起伏有序、颇为壮观的风景线；恰似一幅美伦美奂的江南山水画，令人如痴如醉、恍惚不知今夕是何年…
    穿过湖边长廊，从知春亭远眺那一沫晚霞下的西堤，黄昏的光影投射在西堤的湖面上，暮色仿佛为西堤披上了一层薄纱，如梦如幻…相邻而伴的玉峰塔影，宛如写意的水墨丹青，此刻的落日之美，已经无法用语言形容…奢望能每天到这里：望云起云落，看虚化了的人影、远眺夕阳下的湖面和天然背景板的玉泉山塔影…
​    时光斑驳了记忆，布满了岁月走过的痕迹，虽然红墙黄瓦今犹在，然世事早已更迭，繁华落尽一场空…
   然颐和园依旧是风景这边独好：
   听宫墙，走长廊，天影楼台上下涵。
   踏孔桥，扶奇石，十里青山佛香阁。

​",/Date(1679955656000+0800)/,1,4.286,0,0,0,6,0,0,0,0,0
5,897521,谁不说自己的家乡好呢？有，现在的新移民者就是不喜欢自己家乡的人。我常在想，既然移民到一个新的环境，那么这个新的环境肯定要比老环境好，否则，为什么要换地方生活呢？人往高处走吗。 漫步在颐和园的西堤，看着这一篇只有颐和园才有的秋色，我不胜感慨，感谢老祖宗给我们留下这样的瑰丽财富，这个公园是世界遗产，是我们祖国的无价之宝。在颐和园经常可以看见一些外国人，愉快的徜徉在小道和林间，他们以最热情的眼睛看着颐和园的每一草、每一树、每一景……他们永远也看不够…… 为什么他们看不够呢？为什么我们居住在北京，来过这里无数次的北京市民也看不够呢？我经常在琢磨，费解，为什么近代一些人造景观看几天就没有新意了，可是这个颐和园确实总也看不够…… 今天在颐和园西堤的最北边，一家来自东北的游客，向我问路：走哪一条路可以到最南边，我问他：你准备看什么景点，他说：全想看，我问他：你们有力气走路吗？他说：有，我告诉他：走外圈可以看见耕织图和畅观楼，这个畅观楼是原来彭真市长最喜欢的地方，他说：我走大圈，您是锻炼的吗？我说：是的。 多么简介的对话，对于我来说，几乎每一天在北京的各个景点都可以碰到大同小异的问话，如果不是在北京，不是在颐和园和鸟巢，能有类似的对话吗？ 北京为什么如此吸引人，说真的，这一切都和几十位皇帝在这个城市生活过有直接关系。由于他们的显赫地位，决定了，这个城市的奢华建筑会如此之多。,/Date(1676305311000+0800)/,5,4.286,0,0,0,4,0,0,0,0,1
6,20529448,颐和园西北角有一座蚕神庙，是乾隆年间修建的，可惜被八国联军烧毁。这里位置相对偏僻，并不引人注意，现在不对外开放。蚕神在古代有蚕女、马头娘、马明王、马明菩萨、蚕花娘娘、蚕丝仙姑、蚕皇老太等多种称呼，是民间信奉的司蚕桑之神。我国是最早发明种桑饲蚕的国家。,/Date(1680297456000+0800)/,0,4.269,0,0,0,0,0,0,0,0,0
7,58628634,"公园的新奇玩法👻第二季颐和园
沉浸式实景RPG剧本杀《颐和迷案》

如果不请导游讲解，如何get到各个景点的特别历史故事。
线上+线下的游戏解密模式，欣赏美景的同时，在趣味游戏中增进了同伴之间的感情，了解了历史小故事。

游戏玩法🎮
在WX小程序上激活游戏后，跟着内容提示和谜题设置化身一位修建颐和园的工匠小林，突破重重困难，经历百翻考验，解救柳大人
历史事件结合公园实景，设置了很多谜题，每题的设置都是不同的解法，跟着小程序提示即可

游戏路线🗺
东宫门—&gt;仁寿殿—&gt;德和园—&gt;佛香阁—&gt;清晏舫—&gt;长廊—&gt;（铜牛—&gt;）仁寿殿麒麟—&gt;谐趣园

适宜人群👨‍👩‍👧👭👩‍❤️‍👨
喜欢解密、喜欢历史、喜欢新奇体验等人群
可增进亲子关系，促进友谊或进行公司团建

游戏亮点✨
罗盘的与实景结合使用
游戏有分支线路选择，不影响结局，却会加快进度

Tips
1⃣游戏每人有40次提示，绝对够用，每题提示次数不等，谜题难度逐渐降低，仔细阅读题目，🧐自己多思考，多尝试，才能体会到游戏的乐趣
2⃣夏季天气炎热🫠，注意补水和防晒
3⃣游戏有语音配音，佩戴耳机🎧会有更佳的体验，可以边听边看景，不然就要一直盯着手机看大段大段的文字
4⃣游玩时间约4小时，屏幕会常亮，🔋比较耗电，我和小伙伴满电出门的，到最后就只剩10%了，备充电宝会保险一些

游戏价格💰
1⃣游戏套装178元（可供1-3人使用）
2⃣公园门票：
颐和园门票：30元/张（旺季） 20元/张（淡季）（可用公园年卡）
德和园5元/张（可不进园解题）
佛香阁10元/张（检票口外微信扫码购买）",/Date(1663380718000+0800)/,15,4.286,0,2,0,5,3,0,4,0,0
8,45079803,颐和园是中国清朝时期皇家园林，前身为清漪园，坐落在北京西郊五环路。是以昆明湖、万寿山为基址，以杭州西湖为蓝本，汲取江南园林的设计手法而建成的一座大型山水园林，也是保存最完整的一座皇家行宫御苑，被誉为“皇家园林博物馆”。,/Date(1676985160000+0800)/,1,4.286,0,0,0,4,0,0,0,0,0
9,360513011,当时买船票的时候看上去还挺贵的，不过我之前没有买过内河的船票，这次是第一次尝鲜。紫竹院的风景很好还免费，建议大家以后能多去紫竹院看看，欣赏风景。这次船票没有亏待我。我能坐船欣赏到河流两侧唯美的植被和络绎不绝、来往不断的车辆。,/Date(1674549812000+0800)/,1,4.263,0,0,0,2,0,0,0,0,0
